John Smith,123 Main St,Norcross,GA,30092,770-555-1212
Alice Johnson,456 Oak Ave,Atlanta,GA,30303,404-555-3434
Robert Williams,789 Pine Ln,Decatur,GA,30030,678-555-5656
Emily Brown,101 Elm Rd,Marietta,GA,30060,770-555-7878
David Jones,222 Maple Dr,Roswell,GA,30076,470-555-9090
Sarah Garcia,333 Willow Ct,Smyrna,GA,30080,678-555-2121
Michael Rodriguez,444 Birch St,Duluth,GA,30096,770-555-4343
Jessica Martinez,555 Cedar Ave,Lawrenceville,GA,30043,470-555-6565
Christopher Wilson,666 Oak Tree Ln,Peachtree Corners,GA,30092,770-555-8787
Ashley Taylor,777 Pinecrest Rd,Suwanee,GA,30024,678-555-0909
